word,surprisal_bits
il,19.53588388972001
"lupo,",30.52117802743622
colto,24.097514916917866
alla,24.998603569570875
"sprovvista,",43.2723201992555
ululando,37.06835976573486
e,22.556853054652617
"ululando,",40.486204007000424
fuggÃ¬,30.81061657367109
a,26.3260186395865
zampe,26.89395832339196
levate.,35.117581280907444
"ĊLâĢĻanatra,",96.27751886447841
il,18.12385404341049
"gatto,",19.671956735065315
il,14.61330186626673
cane,15.777004587134234
e,10.993353932666245
il,16.165916522766942
tacchino,45.43217326321393
uscirono,37.87224691980793
dallo,21.53535487658163
"stagno,",20.136139457587895
mogi,42.533187608919995
"mogi,",41.85630585889079
grondanti,49.7248533494436
dâĢĻacqua,36.752897019749746
e,14.476030817792862
se,12.55622425860271
ne,26.241486414965017
andarono,26.289309286725135
via.,9.5092714388298
ĊIl,53.441284582074026
fatto,13.73950823616685
Ã¨,20.110996281962358
che,11.334171951881075
la,20.94763202844742
giornata,26.123062601233904
si,13.156588863471239
era,18.88983002985797
fatta,34.574124961287495
bella,25.976303613877235
e,11.607107042939145
il,13.30484753954343
sole,25.158444245282773
scaldava,28.76334748055108
lâĢĻaria,28.485893932302552
e,18.69572628251058
alla,22.874511202171654
"paperetta,",37.547681153610476
nulla,29.894201859069085
sembrÃ²,34.43059855983644
piÃ¹,33.74056220080804
opportuno,29.0319475769115
che,31.760144139939612
farsi,31.29596640491391
un,19.056454389250494
bel,21.587924813470863
bagnetto,48.07669338729126
nello,17.899050017022887
stagno.,10.694982607545567
ĊĊ,16.991082058259256
ĊĊ,16.991082058259256
fatto,8.17380844066705
fatto,8.17380844066705
Ã¨,2.0827477381318023
Ã¨..ĉĉĊĊIlIl,47.09770175327691
fatto,2.4845895014390265
fatto,2.4845895014390265
Ã¨,0.7479967481436265
Ã¨,0.7479967481436265
che,0.1980710431374898
che,0.1980710431374898
la,3.6183374880578034
la,3.6183374880578034
pa,12.173460358773045
paperperettaetta,24.717950241107385
non,4.105177720953001
non,4.105177720953001
si,4.735128157284159
si,4.735128157284159
era,7.436250523482844
era,7.436250523482844
ancora,3.3419331629665283
ancora,3.3419331629665283
decisa,7.938731546578109
decisa,7.938731546578109
a,2.479644484278768
a,2.479644484278768
tu,12.635546096833654
tuffffarsiarsi,13.216521055176441
nello,6.153489716867845
nello,6.153489716867845
sta,5.1511321759419815
stagnogno..,7.753664638369225
CosÃ¬,8.152425493719976
CosÃ¬,8.152425493719976
l,5.300903955376462
"lâĢĻâĢĻanaanatratra,,",25.931844980741975
sul,9.325667060334936
sul,9.325667060334936
bordo,6.053037402221292
bordo,6.053037402221292
dello,5.566354017503682
dello,5.566354017503682
specchio,4.194911044901878
specchio,4.194911044901878
d,1.9697320908397216
"dâĢĻâĢĻacquaacqua,,",2.5234849257755085
le,6.328391257281097
le,6.328391257281097
spie,13.646197329114726
"spiegÃ²gÃ²,,",22.20959428516298
con,4.964505890288809
con,4.964505890288809
pazienza,10.006817419758555
"pazienza,,",10.771850167357373
i,5.944448244397118
i,5.944448244397118
vantaggi,7.763126253157526
vantaggi,7.763126253157526
del,3.1059120841243493
del,3.1059120841243493
nuoto,7.184735527624435
nuoto..,8.849299538981379
Ma,6.750312854989808
Ma,6.750312854989808
non,3.9940827759057558
non,3.9940827759057558
le,5.822955572244009
le,5.822955572244009
riuscÃ¬,7.878183334515349
riuscÃ¬,7.878183334515349
affatto,7.336687015175951
affatto,7.336687015175951
di,4.895122241520622
di,4.895122241520622
convincer,7.738253434259144
convincerlala,8.770035056964497
e,5.391406385739998
"e,,",8.477518451235813
vedendo,7.450811262635493
vedendo,7.450811262635493
che,2.1552231190145497
che,2.1552231190145497
con,8.921525717003025
con,8.921525717003025
le,3.6050893204965395
le,3.6050893204965395
buone,8.10741763398918
buone,8.10741763398918
non,4.888873767849475
non,4.888873767849475
otten,10.02491756186596
ottenevaeva,10.14046738426742
nulla,4.5335469482425585
"nulla,,",4.912585230902244
decise,3.3137056504804154
decise,3.3137056504804154
senz,15.36132114413762
senzâĢĻâĢĻaltroaltro,15.390410598064072
di,0.15107957850730386
di,0.15107957850730386
sp,11.335049063400474
spingeringerlala,12.465239180427359
in,4.40080626675772
in,4.40080626675772
acqua,3.5887571600400037
acqua..,4.7245165697519464
Senza,10.284039694337334
Senza,10.284039694337334
alcun,6.813394027534476
alcun,6.813394027534476
successo,5.110702494377153
successo!!,16.73632931709181
ĊĊAA,30.318328962292462
quel,4.624981180608469
quel,4.624981180608469
punto,0.060288743987186824
"punto,,",1.7697851146911987
l,4.251747871359019
lâĢĻâĢĻanaanatratra,6.34562732878111
indi,12.58142934798256
"indispettispettitata,,",23.202261807591277
chia,10.42827122465692
chiamÃ²mÃ²,10.578487686733038
in,5.191250912874051
in,5.191250912874051
aiuto,2.2541767768414838
aiuto,2.2541767768414838
il,2.141662286994017
il,2.141662286994017
gatto,6.89811956065553
gatto..,9.456322452178064
Il,5.418340244726321
Il,5.418340244726321
gatto,6.616590840499147
gatto,6.616590840499147
spinse,11.850723219608726
spinse,11.850723219608726
l,3.7790105597998735
"lâĢĻâĢĻanaanatratra,,",6.063565177770726
che,2.9667041670364664
che,2.9667041670364664
spinge,14.10645042004774
spingevava,22.989224318227755
la,3.153012628750845
la,3.153012628750845
pa,1.6958930589687162
"paperperettaetta,,",6.714720682617845
che,3.9118461757079883
che,3.9118461757079883
nemmeno,11.516390322192635
nemmeno,11.516390322192635
si,4.902346888718067
si,4.902346888718067
mosse,8.229778474563844
mosse..,10.736899423092407
ĊĊCChiahiamaronomarono,79.73070600148752
allora,6.862303141717445
allora,6.862303141717445
il,4.2995036698853015
il,4.2995036698853015
cane,7.658564241085956
"cane,,",9.56082031472086
che,4.600706517369787
che,4.600706517369787
spinse,12.58864298829035
spinse,12.58864298829035
il,2.473946871038334
il,2.473946871038334
gatto,8.022240130461658
"gatto,,",9.496436029630605
che,4.4176461199996035
che,4.4176461199996035
spinge,13.587443927996368
spingevava,18.173251244356607
l,4.722087744765137
"lâĢĻâĢĻanaanatratra,,",16.24425965072749
che,4.436827345050332
che,4.436827345050332
spinge,13.270307919805349
spingevava,19.65174756971038
la,3.4511717272803604
la,3.4511717272803604
pa,3.5318783698160523
paperperettaetta,12.681714656726209
che,7.778835148487335
che,7.778835148487335
sembrava,9.002438738719754
sembrava,9.002438738719754
incol,15.314043801346036
incollatalata,21.881832156905748
a,6.107120442472818
a,6.107120442472818
terra,6.4928630818154245
terra..,8.522757627632021
"ĊĊInInfinefine,,",75.34328084488018
arrivÃ²,14.299383309508052
arrivÃ²,14.299383309508052
anche,7.442806502133735
anche,7.442806502133735
il,3.9935138572967013
il,3.9935138572967013
ta,9.39477312910463
tacchinocchino,24.095156690809233
che,6.304409996444787
che,6.304409996444787
spinse,12.151244327865191
spinse,12.151244327865191
il,2.5260669013129116
il,2.5260669013129116
cane,7.926968621189697
"cane,,",9.718957158310658
che,4.104488758453644
che,4.104488758453644
spinge,13.129448625303882
spingevava,16.038873626505186
il,3.7402594289074655
il,3.7402594289074655
gatto,9.982307828218795
"gatto,,",11.324740079342456
che,4.007492607158831
che,4.007492607158831
spinge,13.102543659402905
spingevava,17.11938145984432
l,5.140200958653142
"lâĢĻâĢĻanaanatratra,,",19.646071970249256
che,4.099009735162457
che,4.099009735162457
spinge,12.788321725248105
spingevava,16.086407567411857
la,4.40125273371936
la,4.40125273371936
pa,4.406527441621322
"paperperettaetta,,",14.674782224297164
che,4.083376856164329
che,4.083376856164329
non,3.538845730967806
non,3.538845730967806
si,3.1475064322008213
si,3.1475064322008213
sposta,12.866789841600166
spostavava,13.200449276453313
di,9.085227747192091
di,9.085227747192091
un,8.092312053798597
un,8.092312053798597
milli,15.038325343066402
millimetrometro..ĊĊEE,62.50240216743299
proprio,10.232211690603922
proprio,10.232211690603922
quando,6.104164404669787
quando,6.104164404669787
semb,15.330479839323694
sembrÃ²rÃ²,19.515124551864968
che,8.318576556857328
che,8.318576556857328
la,4.027323238699218
la,4.027323238699218
sua,1.583611261647867
sua,1.583611261647867
resistenza,13.631210072987937
resistenza,13.631210072987937
potesse,19.051246066651764
potesse,19.051246066651764
venir,12.473605856920027
venir,12.473605856920027
meno,11.382436475088609
