word,semantic_dissimilarity
Orso,0.417562335729599
Volpe,0.34575900435447693
Talpa,0.3612784147262573
e,0.2607579231262207
Rospo,0.3569578230381012
iniziano,0.49686312675476074
a,0.42223650217056274
camminare,0.44130611419677734
alla,0.4530169367790222
ricerca,0.42732125520706177
della,0.2574516534805298
tana,0.45257943868637085
di,0.29111170768737793
Orso,0.43418726325035095
E,0.45158761739730835
all',0.36151522397994995
improvviso,0.46278294920921326
BADABUM,0.47271403670310974
SPATAPAM,0.3941684365272522
BEDEBENG,0.4053473174571991
BIDIBONG,0.3251548707485199
cascano,0.6033656597137451
in,0.548027515411377
un,0.4459072947502136
buco,0.3393256962299347
ma,0.33209311962127686
è,0.3012332320213318
la,0.2731550931930542
tana,0.3856216073036194
di,0.2517135739326477
Formica,0.40947452187538147
Orso,0.4055180847644806
Volpe,0.352451890707016
Talpa,0.33428454399108887
Rospo,0.33489930629730225
e,0.2532891631126404
Formica,0.39046013355255127
iniziano,0.5024151802062988
a,0.4049375057220459
camminare,0.4783673584461212
alla,0.40176641941070557
ricerca,0.42901521921157837
della,0.24061459302902222
tana,0.4064112603664398
di,0.29868876934051514
Orso,0.42595311999320984
Attraversano,0.5467897057533264
il,0.27309656143188477
deserto,0.3635961413383484
e,0.31017887592315674
all',0.4056931734085083
improvviso,0.39303648471832275
un,0.19437909126281738
elefante,0.3514784276485443
Vi,0.4641982316970825
siete,0.41622674465179443
persi,0.3289320468902588
Presto,0.2758995294570923
Tutti,0.25453269481658936
in,0.34815335273742676
groppa,0.4039129614830017
dice,0.3475789427757263
l',0.3394310474395752
elefante,0.38074883818626404
E,0.37502920627593994
allora,0.29286301136016846
Orso,0.36983564496040344
Volpe,0.37196972966194153
Talpa,0.3423410654067993
Rospo,0.3171325922012329
e,0.23393774032592773
Formica,0.39471396803855896
si,0.32740604877471924
arrampicano,0.4233231544494629
sulla,0.29723918437957764
schiena,0.382659375667572
di,0.3096740245819092
elefante,0.31981387734413147
Elefante,0.3372785449028015
si,0.29491543769836426
mette,0.38447171449661255
in,0.41642433404922485
cammino,0.31036874651908875
marciano,0.3928409218788147
nel,0.2836313247680664
deserto,0.3452380895614624
e,0.21130049228668213
poi,0.23035573959350586
guadano,0.381624311208725
il,0.2329883575439453
fiume,0.26260292530059814
E,0.3164517283439636
poi,0.20435220003128052
all',0.33393168449401855
improvviso,0.45781660079956055
zigzagano,0.43611401319503784
per,0.33207952976226807
il,0.3471025824546814
bosco,0.33990639448165894
La,0.2851780652999878
tana,0.4188288450241089
di,0.3215458393096924
Orso,0.39770522713661194
tutti,0.2738720178604126
dentro,0.28167304396629333
BADABUM,0.4779362082481384
SPATAPAM,0.4022819399833679
BEDEBENG,0.4076249599456787
BIDIBONG,0.3263538181781769
Tic,0.42978963255882263
Finalmente,0.36832690238952637
Orso,0.4339439868927002
Volpe,0.4109853208065033
Talpa,0.3423512279987335
Rospo,0.30585625767707825
e,0.23638319969177246
Formica,0.3898233473300934
sono,0.33070260286331177
tutti,0.3184553384780884
insieme,0.3402547836303711
a,0.2970353364944458
casa,0.27761733531951904
di,0.2769485116004944
Orso,0.4336966872215271
ma,0.26499301195144653
Elefante,0.3665749132633209
dov',0.4745354652404785
è,0.2513805627822876
Guardano,0.4129609167575836
