,word,surprisal_bits
214,e,4.071827533228288
215,la,7.369004619064882
216,nave,0.2132525751662593
217,voltò,26.40883310149117
218,la,6.91210450189309
219,prua,15.573120530397581
220,verso,14.111432413477933
221,l',6.0030771300762495
222,isola,10.359068157672139
223,del,13.849388639733702
224,tesoro,6.229554633648075
225,Ma,6.803736169792624
226,dov',11.897501124782204
227,era,10.42107547054482
228,l',10.356368717984196
229,isola,9.531437422786253
230,del,13.912968561965872
231,tesoro,15.63884885990433
232,Il,7.409575326403419
233,guaio,11.594843648036722
234,è,11.989963125469671
235,che,8.659356051958364
236,nessuno,12.64424016380007
237,lo,14.791363759872237
238,ricordava,18.95211939427806
239,bene,16.974907605969666
240,perché,12.071460888199331
241,il,8.346800973655727
242,mare,3.380477226747298
243,è,9.545903915446228
244,pieno,13.770602699442847
245,di,2.6424852253523134
246,isole,12.746860147778099
247,e,9.471061193374354
248,isolotti,56.84989524679741
249,I,5.711067099245684
250,pirati,0.12625782770731162
251,della,10.429060281059078
252,Tonno,19.045806090308346
253,Feroce,30.010109226011814
254,ad,14.929212670053001
255,ogni,5.026276898999203
256,isola,11.458137046622987
257,gridavano,29.387044971662164
258,È,19.20995028100676
259,quella,21.74199787900342
260,Sbarcavano,52.620702384151095
261,scavavano,38.61558938746258
262,ma,8.141232174871222
263,niente,12.422579292339634
264,tesoro,13.573950685157625
265,E,5.672872848176769
266,scava,13.941491712628817
267,su,14.026016198031014
268,un',4.454553596874762
269,isola,9.750806668419605
270,scava,10.622629936284211
271,su,13.542897669700487
272,due,14.732986656793969
273,avevano,14.037467490856063
274,i,7.580451784855878
275,calli,27.865239287237515
276,alle,19.19120967550754
277,mani,15.420010223744551
278,erano,14.302379935216685
279,magri,27.83887434686025
280,e,9.353844697852299
281,affamati,22.376936156174903
282,Un,6.645422700020392
283,giorno,8.553020189327963
284,ecco,15.841093578012957
285,un',8.30837523393875
286,isola,10.153639696730739
287,verde,18.4714251333941
288,in,13.159361223803149
289,mezzo,8.690610803064963
290,al,8.790615962819272
291,mare,7.2875883761117315
292,È,42.30492397952764
293,quella,13.385045629380521
294,forse,14.47311605582604
295,…,19.44697264284226
296,dissero,23.922850712562802
297,i,0.5022038300577364
298,pirati,2.2823198888416854
299,ma,7.169726945648939
300,senza,7.150921674672997
301,troppa,18.861154330583705
302,fiducia,28.9357318828863
303,Sbarcarono,58.79814825238824
304,e,4.621828738618154
305,cominciarono,20.80708299064811
306,a,2.782862968431365
307,scavare,20.404332299031076
308,e,4.46651877386059
309,non,10.431508626076761
310,trovarono,10.617758269724545
311,il,3.657432584251937
312,tesoro,4.735929596437179
313,nemmeno,19.428922719668908
314,lì,29.122152477289042
315,però,20.61257198838348
316,trovarono,15.67954408268209
317,dei,9.215021677937047
318,tuberi,23.896657066905792
319,grossi,19.997397957449152
320,dalla,15.318794650093471
321,pelle,17.893983064163166
322,bruna,40.23606521631421
323,Erano,5.386506600016917
324,così,17.266646764125124
325,belli,15.522845873966762
326,e,7.151582775982913
327,strani,16.235802016910345
328,che,11.2041551316206
329,li,10.68681067990717
330,fecero,11.15387015623073
331,cuocere,25.88341853586865
332,e,4.567549638144644
333,li,10.73357138681556
334,assaggiarono,26.46148232238245
335,e,4.318178921977193
336,li,10.595392269945139
337,trovarono,12.980221342942032
338,così,18.304428603545105
339,buoni,19.11466501312273
340,che,9.42474832928881
341,li,10.684872091466644
342,cucinarono,37.98182497787457
343,in,11.242742535029388
344,molti,13.715403147821918
345,modi,23.002441528911863
346,fritti,21.35540874105327
347,cotti,38.721023265582694
348,arrostiti,37.96341010751608
349,col,8.599140798307673
350,prezzemolo,24.886999641868403
351,a,11.418854833304714
352,pezzetti,28.484952026319437
353,a,11.469722485915709
