sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
18,arriva,arrivare,VERB,root,ROOT,,,4.940504965
18,la,il,DET,det,capra,,,7.055331658
18,capra,capra,NOUN,nsubj,Arriva,,3.52 ± 1.29,3.85226257
18,e,e,CCONJ,cc,dice,,,2.741151583
18,gli,gli,PRON,iobj,dice,,,6.227520191
18,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
18,,,PUNCT,punct,Arriva,,,
19,,,PUNCT,punct,Facciamo,,,
19,,,PUNCT,punct,Facciamo,,,
19,meee,Meee,INTJ,discourse,Facciamo,,,1.367014489
19,meee,Meee,PROPN,vocative,Facciamo,,,1.367014489
19,,,PUNCT,punct,Meee,,,
19,facciamo,fare,VERB,root,ROOT,,4.40 ± 2.22,5.388300287
19,chi,chi,PRON,obj,Facciamo,,,6.108444494
19,salta,saltare,VERB,acl:relcl,chi,,3.48 ± 1.66,4.385576302
19,di,di,ADP,case,più,,,7.232814475
19,più,più,ADV,advmod,salta,,,6.382555861
19,,,PUNCT,punct,Facciamo,,,
19,,,PUNCT,punct,Facciamo,,,
19,,,PUNCT,punct,Facciamo,,,
19,,,PUNCT,punct,Facciamo,,,
20,il,il,DET,det,ragno,,,7.039560886
20,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
20,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
20,tesse,tessere,VERB,root,ROOT,,,2.660745246
20,e,e,CCONJ,cc,tace,,,2.741151583
20,tace,tacere,VERB,conj,tesse,,,2.829412487
20,,,PUNCT,punct,tesse,,,
21,arriva,arrivare,VERB,root,ROOT,,,4.940504965
21,il,il,DET,det,maiale,,,7.039560886
21,maiale,maiale,NOUN,nsubj,Arriva,,4.20 ± 1.61,4.362357131
21,e,e,CCONJ,cc,dice,,,2.741151583
21,gli,gli,PRON,iobj,dice,,,6.227520191
21,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
21,,,PUNCT,punct,Arriva,,,
22,,,PUNCT,punct,andiamo,,,
22,,,PUNCT,punct,Gronf!,,,
22,gronf,Gronf,PROPN,nsubj,andiamo,,,
22,gronf,Gronf,PROPN,flat:name,Gronf!,,,
22,,,PUNCT,punct,Gronf!,,,
