word,semantic_dissimilarity
che,0.2528083324432373
fosse,0.2566571831703186
un,0.20851320028305054
astrologo,0.4185771048069
sapiente,0.2814857065677643
Questi,0.3026553988456726
servi,0.2814621925354004
erano,0.2779316306114197
stati,0.24474751949310303
loro,0.2241637110710144
a,0.27142977714538574
rubare,0.3086286187171936
l',0.4718514680862427
anello,0.3308168053627014
e,0.22956597805023193
con,0.29488587379455566
la,0.2657662630081177
coscienza,0.2969279885292053
sporca,0.2998349070549011
che,0.24315297603607178
avevano,0.21045592427253723
le,0.19416207075119019
occhiatacce,0.41429170966148376
che,0.21805566549301147
rivolgeva,0.34899476170539856
loro,0.23089730739593506
Gàmbara,0.5011819005012512
ogni,0.2984515428543091
volta,0.3313598036766052
che,0.2340959906578064
entravano,0.2802220582962036
per,0.2697944641113281
darsi,0.35331445932388306
aria,0.35669469833374023
d',0.6484465599060059
uomo,0.31601911783218384
d',0.5918956995010376
autorità,0.25835487246513367
parevano,0.3283645510673523
loro,0.24782031774520874
occhiate,0.2993473410606384
di,0.21713781356811523
sospetto,0.26597505807876587
Cominciarono,0.480307400226593
ad,0.4066272974014282
aver,0.3938218951225281
paura,0.2749934196472168
d',0.6142721176147461
essere,0.3884251117706299
scoperti,0.2939353585243225
e,0.22780895233154297
non,0.17256563901901245
la,0.33314794301986694
finivano,0.31335997581481934
più,0.2989468574523926
con,0.2456425428390503
le,0.22032833099365234
riverenze,0.32545506954193115
Gàmbara,0.44480615854263306
che,0.3139994144439697
astrologo,0.4377414584159851
non,0.24871307611465454
era,0.2629467248916626
ma,0.29349029064178467
contadino,0.2994363009929657
e,0.25776636600494385
perciò,0.3183410167694092
malizioso,0.2904086112976074
subito,0.2607170343399048
aveva,0.2737680673599243
pensato,0.321847140789032
che,0.24396806955337524
i,0.21341753005981445
servi,0.3294064402580261
dovessero,0.3595501184463501
saperne,0.29579949378967285
qualcosa,0.2263239622116089
E,0.29555803537368774
pensò,0.34273549914360046
di,0.23760825395584106
farli,0.29411715269088745
cascare,0.35996392369270325
in,0.33932924270629883
un,0.2593221664428711
inganno,0.27762535214424133
Un,0.28494513034820557
giorno,0.25700604915618896
all',0.5999017953872681
ora,0.3602026104927063
in,0.29632073640823364
cui,0.2336275577545166
gli,0.22804230451583862
portarono,0.3932458758354187
il,0.31730711460113525
pranzo,0.2547295391559601
si,0.18626409769058228
nascose,0.3984687030315399
sotto,0.276925265789032
il,0.2706547975540161
letto,0.21878144145011902
Entrò,0.4538664221763611
il,0.18316751718521118
primo,0.22671473026275635
dei,0.3624926209449768
servi,0.3014458417892456
e,0.27040618658065796
non,0.19506937265396118
vide,0.27417707443237305
nessuno,0.21583524346351624
Di,0.31662625074386597
sotto,0.3192299008369446
il,0.2654067277908325
letto,0.18028467893600464
Gàmbara,0.5147035717964172
disse,0.24303609132766724
forte,0.3007296621799469
E,0.3642125129699707
uno,0.30916497111320496
il,0.1885649561882019
servo,0.2786710262298584
lasciò,0.27837616205215454
il,0.24125903844833374
piatto,0.23666894435882568
e,0.20075833797454834
si,0.24566668272018433
ritirò,0.3981661796569824
spaventato,0.3100052773952484
Entrò,0.4817349314689636
il,0.19131994247436523
secondo,0.31019896268844604
servo,0.33665740489959717
E,0.42065078020095825
due,0.3333958089351654
e,0.22173452377319336
scappò,0.4007880389690399
via,0.21078276634216309
anche,0.23080360889434814
lui,0.21283623576164246
Entrò,0.41695764660835266
il,0.22892475128173828
terzo,0.3065766394138336
E,0.3464204668998718
tre,0.2973596751689911
I,0.27313315868377686
servi,0.3619181513786316
si,0.22737371921539307
consultarono,0.38026073575019836
Ormai,0.33767640590667725
siamo,0.24954068660736084
scoperti,0.272222638130188
se,0.27077358961105347
l',0.4719235897064209
astrologo,0.4896458685398102
ci,0.2373507022857666
accusa,0.3455328941345215
al,0.23375487327575684
Re,0.24520432949066162
siamo,0.22651416063308716
spacciati,0.40361955761909485
Così,0.3445729613304138
decisero,0.4457166790962219
d',0.6192781329154968
andare,0.376029372215271
dall',0.5072247385978699
astrologo,0.45386287569999695
