sentence_ids,tokens,tokens_no_punct,lemma,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
12,piscina,piscina,piscina,piscina,NOUN,obl,andrai,,4.72 ± 1.93,"4,34229308"
12,?,,?,,PUNCT,punct,andrai,,,
13,”,”,”,”,PUNCT,root,ROOT,,,
14,“,“,“,“,PUNCT,punct,farò,,,
14,Sì,sì,sì,sì,INTJ,discourse,farò,,,"6,497825183"
14,",",,",",,PUNCT,punct,Sì,,,
14,ci,ci,ci,ci,PRON,expl,farò,,,"6,517126939"
14,farò,farò,fare,fare,VERB,root,ROOT,,4.40 ± 2.22,"5,398907477"
14,i,i,il,il,DET,det,tuffi,,,"6,584780852"
14,tuffi,tuffi,tuffo,tuffo,NOUN,obj,farò,,,"2,781987837"
14,e,e,e,e,CCONJ,cc,immersioni,,,"2,741151583"
14,le,le,il,il,DET,det,immersioni,,,"6,624997683"
14,immersioni,immersioni,immersione,immersione,NOUN,conj,tuffi,,,"3,074584665"
14,!,,!,,PUNCT,punct,farò,,,
14,”,”,”,”,PUNCT,punct,farò,,,
14,",",,",",,PUNCT,punct,farò,,,
14,risponde,risponde,rispondere,rispondere,VERB,parataxis,farò,,3.88 ± 1.59,"4,376323713"
14,Nina,nina,Nina,Nina,PROPN,nsubj,risponde,,,"1,668044485"
14,tutta,tutta,tutto,tutto,DET,det,fiera,,,"5,540385318"
14,fiera,fiera,fiera,fiera,NOUN,nsubj,risponde,,,"4,190271299"
14,.,,.,,PUNCT,punct,farò,,,
15,La,la,il,il,DET,det,mamma,,,"7,055331658"
15,mamma,mamma,mamma,mamma,NOUN,nsubj,chiede,,1.88 ± 1.27,"5,66327005"
15,le,le,le,le,PRON,iobj,chiede,,,"6,624997683"
15,chiede,chiede,chiedere,chiedere,VERB,root,ROOT,,,"4,493578784"
15,“,“,“,“,PUNCT,punct,grande,,,
15,Anche,anche,anche,anche,ADV,advmod,grande,,,"6,115086172"
15,quando,quando,quando,quando,SCONJ,mark,grande,,,"6,212844009"
15,sarai,sarai,essere,essere,AUX,cop,grande,,,"5,007827069"
15,grande,grande,grande,grande,ADJ,advcl,chiede,,4.64 ± 2.04,"5,615282093"
15,e,e,e,e,CCONJ,cc,andrai,,,"2,741151583"
15,andrai,andrai,andare,andare,VERB,conj,grande,,4.20 ± 1.44,"4,532654438"
15,a,a,a,a,ADP,mark,lavorare,,,"7,004335738"
15,lavorare,lavorare,lavorare,lavorare,VERB,xcomp,andrai,,7.00 ± 2.87,"5,121005863"
15,?,,?,,PUNCT,punct,chiede,,,
16,Non,non,non,non,ADV,advmod,separerai,,,"7,259198169"
16,te,te,te,te,PRON,expl,separerai,,,"6,290869614"
16,ne,ne,ne,ne,PRON,iobj,separerai,,,"6,201935117"
16,separerai,separerai,separare,separare,VERB,root,ROOT,,,"1,491953226"
16,proprio,proprio,proprio,proprio,ADV,advmod,mai,,,"5,884320377"
16,mai,mai,mai,mai,ADV,advmod,separerai,,,"6,144963021"
16,?,,?,,PUNCT,punct,separerai,,,
17,”,”,”,”,PUNCT,punct,starà,,,
17,“,“,“,“,PUNCT,punct,starà,,,
17,No,no,No,No,INTJ,discourse,starà,,,"6,605764599"
17,",",,",",,PUNCT,punct,No,,,
17,no,no,no,no,INTJ,discourse,starà,,,"6,605764599"
17,",",,",",,PUNCT,punct,no,,,
17,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
17,mio,mio,mio,mio,DET,det:poss,ciuccio,,,"6,336217551"
17,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,nsubj,starà,,2.96 ± 1.57,"2,858376183"
17,starà,starà,stare,stare,VERB,root,ROOT,,4.60 ± 2.35,"4,575187016"
17,sempre,sempre,sempre,sempre,ADV,advmod,starà,,,"5,921350175"
17,con,con,con,con,ADP,case,me!,,,"6,620271703"
17,me!,me,me!,me,PRON,obl,starà,,,"6,337855516"
17,”,”,”,”,PUNCT,punct,starà,,,
17,“,“,“,“,PUNCT,punct,sposerai,,,
17,E,e,e,e,CCONJ,cc,sposerai,,,"2,741151583"
17,quando,quando,quando,quando,ADV,advmod,sposerai,,,"6,212844009"
17,ti,ti,ti,ti,PRON,iobj,sposerai,,,"6,615643201"
17,sposerai,sposerai,sposare,sposare,VERB,parataxis,starà,,,"3,522350527"
17,?,,?,,PUNCT,punct,sposerai,,,
18,”,”,”,”,PUNCT,punct,chiede,,,
18,",",,",",,PUNCT,punct,chiede,,,
18,chiede,chiede,chiedere,chiedere,VERB,root,ROOT,,,"4,493578784"
18,la,la,il,il,DET,det,mamma,,,"7,055331658"
18,mamma,mamma,mamma,mamma,NOUN,nsubj,chiede,,1.88 ± 1.27,"5,66327005"
18,.,,.,,PUNCT,punct,chiede,,,
19,“,“,“,“,PUNCT,punct,Starà,,,
19,Starà,starà,stare,stare,VERB,root,ROOT,,4.60 ± 2.35,"4,575187016"
19,benissimo,benissimo,bene,bene,ADV,advmod,Starà,,,"5,002531745"
19,con,con,con,con,ADP,case,vestito,,,"6,620271703"
19,il,il,il,il,DET,det,vestito,,,"7,039560886"
19,mio,mio,mio,mio,DET,det:poss,vestito,,,"6,336217551"
19,vestito,vestito,vestito,vestito,NOUN,obl,Starà,,4.48 ± 1.71,"4,841133585"
19,”,”,”,”,PUNCT,punct,Starà,,,
19,",",,",",,PUNCT,punct,Starà,,,
19,le,le,le,le,PRON,iobj,risponde,,,"6,624997683"
19,risponde,risponde,rispondere,rispondere,VERB,parataxis,Starà,,3.88 ± 1.59,"4,376323713"
19,Nina,nina,Nina,Nina,PROPN,nsubj,risponde,,,"1,668044485"
19,.,,.,,PUNCT,punct,Starà,,,
20,Dopodiché,dopodiché,dopodiché,dopodiché,SCONJ,mark,va,,,"3,311497161"
20,Nina,nina,Nina,Nina,PROPN,nsubj,va,,,"1,668044485"
20,va,va,andare,andare,VERB,advcl,giornata,,4.20 ± 1.44,"6,162363764"
20,a,a,a,a,ADP,case,parco,,,"7,004335738"
20,il,il,il,il,DET,det,parco,,,"7,039560886"
20,parco,parco,parco,parco,NOUN,obl,va,,,"4,475917617"
20,a,a,a,a,ADP,mark,passeggiare,,,"7,004335738"
20,passeggiare,passeggiare,passeggiare,passeggiare,VERB,xcomp,va,,,"3,447400436"
20,",",,",",,PUNCT,punct,va,,,
20,è,è,essere,essere,AUX,cop,giornata,,,"7,249521761"
20,una,una,uno,uno,DET,det,giornata,,,"6,801817508"
20,bella,bella,bello,bello,ADJ,amod,giornata,,3.80 ± 2.35,"5,484893151"
20,giornata,giornata,giornata,giornata,NOUN,root,ROOT,,,"5,003101004"
20,di,di,di,di,ADP,case,sole,,,"7,232814475"
20,sole,sole,sole,sole,NOUN,nmod,giornata,,3.64 ± 2.22,"4,889371768"
20,e,e,e,e,CCONJ,cc,è,,,"2,741151583"
20,c’,c’,ci,ci,PRON,expl,è,,,
20,è,è,essere,essere,VERB,conj,giornata,,,"7,249521761"
20,un,un,uno,uno,DET,det,venticello,,,"7,065833912"
20,venticello,venticello,venticello,venticello,NOUN,nsubj,è,,,"2,287833243"
20,fresco,fresco,fresco,fresco,ADJ,amod,venticello,,,"4,143957687"
20,.,,.,,PUNCT,punct,giornata,,,
21,Improvvisamente,improvvisamente,improvvisamente,improvvisamente,ADV,advmod,esce,,,"4,224548001"
21,",",,",",,PUNCT,punct,Improvvisamente,,,
21,da,da,da,da,ADP,case,albero,,,"6,577812618"
21,dietro,dietro,dietro,dietro,ADP,case,albero,,,"5,239598045"
21,un,un,uno,uno,DET,det,albero,,,"7,065833912"
21,albero,albero,albero,albero,NOUN,obl,esce,,3.56 ± 1.19,"4,603299767"
21,",",,",",,PUNCT,punct,albero,,,
21,un,un,uno,uno,DET,det,lupo,,,"7,065833912"
21,lupo,lupo,lupo,lupo,NOUN,nsubj,esce,,3.92 ± 0.86,"4,449560513"
21,esce,esce,uscire,uscire,VERB,root,ROOT,,4.28 ± 2.32,"4,481180499"
21,da,da,da,da,ADP,case,bosco,,,"6,577812618"
21,il,il,il,il,DET,det,bosco,,,"7,039560886"
21,bosco,bosco,bosco,bosco,NOUN,obl,esce,,4.52 ± 1.26,"4,24188269"
21,",",,",",,PUNCT,punct,lupo,,,
21,è,è,essere,essere,AUX,cop,lupo,,,"7,249521761"
21,un,un,uno,uno,DET,det,lupo,,,"7,065833912"
21,lupo,lupo,lupo,lupo,NOUN,conj,esce,,3.92 ± 0.86,"4,449560513"
21,spaventoso,spaventoso,spaventoso,spaventoso,ADJ,amod,lupo,,5.24 ± 2.20,"4,038804227"
21,",",,",",,PUNCT,punct,cattivo,,,
21,cattivo,cattivo,cattivo,cattivo,ADJ,conj,spaventoso,,3.48 ± 1.26,"4,710488731"
21,",",,",",,PUNCT,punct,affamato,,,
21,affamato,affamato,affamato,affamato,ADJ,conj,spaventoso,,4.84 ± 2.15,"3,853681062"
21,.,,.,,PUNCT,punct,esce,,,
22,“,“,“,“,PUNCT,punct,Aaaargh,,,
22,Aaaargh,aaaargh,Aaaargh,Aaaargh,PROPN,root,ROOT,,,"2,065984493"
22,",",,",",,PUNCT,punct,Aaaargh,,,
22,bambina,bambina,bambino,bambino,NOUN,conj,Aaaargh,,3.20 ± 1.12,"4,98282431"
22,!,,!,,PUNCT,punct,Aaaargh,,,
23,Adesso,adesso,adesso,adesso,ADV,advmod,mangio,,,"5,836954264"
23,ti,ti,ti,ti,PRON,iobj,mangio,,,"6,615643201"
23,mangio,mangio,mangiare,mangiare,VERB,root,ROOT,,3.24 ± 1.74,"4,209623729"
23,!,,!,,PUNCT,punct,mangio,,,
23,”,”,”,”,PUNCT,punct,mangio,,,
23,",",,",",,PUNCT,punct,dice,,,
23,le,le,le,le,PRON,iobj,dice,,,"6,624997683"
23,dice,dice,dire,dire,VERB,parataxis,mangio,,4.08 ± 1.73,"5,609257672"
23,il,il,il,il,DET,det,lupo,,,"7,039560886"
23,lupo,lupo,lupo,lupo,NOUN,nsubj,dice,,3.92 ± 0.86,"4,449560513"
23,",",,",",,PUNCT,punct,lupo,,,
23,inferocito,inferocito,inferocito,inferocito,ADJ,amod,lupo,,,"2,232315915"
23,.,,.,,PUNCT,punct,mangio,,,
24,“,“,“,“,PUNCT,punct,lafffiami,,,
24,Ehiii,ehiii,Ehiii,Ehiii,INTJ,discourse,lafffiami,,,
24,",",,",",,PUNCT,punct,Ehiii,,,
24,lafffiami,lafffiami,lafffiare,lafffiare,VERB,root,ROOT,,,
24,stare,stare,stare,stare,VERB,xcomp,lafffiami,,4.60 ± 2.35,"5,514886537"
24,!,,!,,PUNCT,punct,lafffiami,,,
24,”,”,”,”,PUNCT,punct,lafffiami,,,
24,“,“,“,“,PUNCT,punct,Come,,,
24,Come,come,come,come,ADV,parataxis,lafffiami,,,"6,562704781"
24,?,,?,,PUNCT,punct,Come,,,
24,”,”,”,”,PUNCT,punct,Come,,,
24,",",,",",,PUNCT,punct,chiede,,,
24,chiede,chiede,chiedere,chiedere,VERB,parataxis,lafffiami,,,"4,493578784"
24,il,il,il,il,DET,det,lupo,,,"7,039560886"
24,lupo,lupo,lupo,lupo,NOUN,nsubj,chiede,,3.92 ± 0.86,"4,449560513"
24,",",,",",,PUNCT,punct,lupo,,,
24,che,che,che,che,PRON,nsubj,capito,,,"7,250456545"
24,non,non,non,non,ADV,advmod,capito,,,"7,259198169"
24,ha,ha,avere,avere,AUX,aux,capito,,,"6,684018637"
24,capito,capito,capitare,capitare,VERB,acl:relcl,lupo,,,"5,491551317"
24,una,una,uno,uno,DET,det,parola,,,"6,801817508"
24,sola,sola,solo,solo,ADJ,amod,parola,,4.60 ± 2.14,"5,290759195"
24,parola,parola,parola,parola,NOUN,obj,capito,,4.44 ± 1.92,"5,141239394"
24,di,di,di,di,ADP,case,quello,,,"7,232814475"
24,quello,quello,quello,quello,PRON,nmod,parola,,,"6,160949149"
24,che,che,che,che,PRON,obj,cercato,,,"7,250456545"
24,Nina,nina,Nina,Nina,PROPN,nsubj,cercato,,,"1,668044485"
24,ha,ha,avere,avere,AUX,aux,cercato,,,"6,684018637"
24,cercato,cercato,cercare,cercare,VERB,acl:relcl,quello,,4.72 ± 2.28,"4,937440667"
24,di,di,di,di,ADP,case,dirgli,,,"7,232814475"
24,dirgli,dirgli,dirglio,dirglio,NOUN,obl,cercato,,,"4,453136935"
24,.,,.,,PUNCT,punct,lafffiami,,,
25,Nina,nina,Nina,Nina,PROPN,nsubj,ripete,,,"1,668044485"
25,allora,allora,allora,allora,ADV,advmod,ripete,,,"6,072527547"
25,ripete,ripete,ripetere,ripetere,VERB,root,ROOT,,,"3,466234585"
25,a,a,a,a,ADP,case,voce,,,"7,004335738"
25,voce,voce,voce,voce,NOUN,obl,ripete,,3.88 ± 1.30,"4,979020863"
25,più,più,più,più,ADV,advmod,alta,,,"6,382555861"
25,alta,alta,alto,alto,ADJ,amod,voce,,4.04 ± 1.10,"4,688405767"
25,”,”,”,”,PUNCT,punct,Laffiami,,,
25,Laffiami,laffiami,laffiare,laffiare,VERB,parataxis,ripete,,,"1,19092323"
25,stare,stare,stare,stare,VERB,ccomp,Laffiami,,4.60 ± 2.35,"5,514886537"
25,!,,!,,PUNCT,punct,Laffiami,,,
25,”,”,”,”,PUNCT,punct,ripete,,,
26,Il,il,il,il,DET,det,lupo,,,"7,039560886"
26,lupo,lupo,lupo,lupo,NOUN,nsubj,continua,,3.92 ± 0.86,"4,449560513"
26,",",,",",,PUNCT,punct,lupo,,,
26,spazientito,spazientito,spazientito,spazientito,ADJ,amod,lupo,,,"1,668044485"
26,",",,",",,PUNCT,punct,lupo,,,
26,continua,continua,continuare,continuare,VERB,root,ROOT,,,"4,980680162"
26,a,a,a,a,ADP,mark,capire,,,"7,004335738"
26,non,non,non,non,ADV,advmod,capire,,,"7,259198169"
26,capire,capire,capire,capire,VERB,xcomp,continua,,,"5,184932263"
26,una,una,uno,uno,DET,det,parola,,,"6,801817508"
26,parola,parola,parola,parola,NOUN,obj,capire,,4.44 ± 1.92,"5,141239394"
26,.,,.,,PUNCT,punct,continua,,,
27,Nina,nina,Nina,Nina,PROPN,nsubj,leva,,,"1,668044485"
27,si,si,si,si,PRON,expl,leva,,,"6,553884221"
27,leva,leva,levare,levare,VERB,root,ROOT,,4.96 ± 2.17,"3,957707746"
27,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
27,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,obj,leva,,2.96 ± 1.57,"2,858376183"
27,di,di,di,di,ADP,case,bocca,,,"7,232814475"
27,bocca,bocca,bocca,bocca,NOUN,nmod,ciuccio,,2.44 ± 1.08,"4,963684877"
27,ed,ed,e,e,CCONJ,cc,urla,,,"5,795365296"
27,urla,urla,urlare,urlare,VERB,conj,leva,,,"4,328593767"
27,:,,:,,PUNCT,punct,leva,,,
28,“,“,“,“,PUNCT,punct,brutto,,,
28,Sei,sei,essere,essere,AUX,cop,brutto,,,"6,430432922"
28,brutto,brutto,brutto,brutto,ADJ,root,ROOT,,3.28 ± 1.43,"4,90302551"
28,",",,",",,PUNCT,punct,cattivo,,,
28,cattivo,cattivo,cattivo,cattivo,ADJ,conj,brutto,,3.48 ± 1.26,"4,710488731"
28,e,e,e,e,CCONJ,cc,puzzi,,,"2,741151583"
28,puzzi,puzzi,puzzo,puzzo,NOUN,conj,brutto,,,"3,651069048"
28,!,,!,,PUNCT,punct,brutto,,,
29,LA-SCIA-MI,lasciami,LA-SCIA-MI,LASCIAMI,PROPN,root,ROOT,,,"4,913844942"
29,STA-RE,stare,STA-RE,STARE,PROPN,flat:name,LA-SCIA-MI,,,"5,514886537"
29,!,,!,,PUNCT,punct,LA-SCIA-MI,,,
29,”,”,”,”,PUNCT,punct,LA-SCIA-MI,,,
30,Il,il,il,il,DET,det,lupo,,,"7,039560886"
30,lupo,lupo,lupo,lupo,NOUN,nsubj,capito,,3.92 ± 0.86,"4,449560513"
30,questa,questa,questo,questo,DET,det,volta,,,"6,209842069"
30,volta,volta,volta,volta,NOUN,obl,capito,,,"5,820011577"
30,ha,ha,avere,avere,AUX,aux,capito,,,"6,684018637"
30,capito,capito,capitare,capitare,VERB,root,ROOT,,,"5,491551317"
30,bene,bene,bene,bene,ADV,advmod,capito,,,"6,454992194"
30,e,e,e,e,CCONJ,cc,va,,,"2,741151583"
30,va,va,andare,andare,VERB,conj,capito,,4.20 ± 1.44,"6,162363764"
30,su,su,su,su,ADP,case,furie,,,"6,000068652"
30,tutte,tutte,tutto,tutto,DET,det:predet,furie,,,"5,553895518"
30,le,le,il,il,DET,det,furie,,,"6,624997683"
30,furie,furie,furia,furia,NOUN,obl,va,,8.52 ± 2.35,"3,154711057"
30,",",,",",,PUNCT,punct,capito,,,
30,“,“,“,“,PUNCT,punct,sì,,,
30,ah,ah,ah,ah,INTJ,discourse,capito,,,"2,25162107"
30,sì,sì,sì,sì,INTJ,discourse,capito,,,"6,497825183"
30,?,,?,,PUNCT,punct,sì,,,
30,?,,?,,PUNCT,punct,capito,,,
31,Sono,sono,essere,essere,AUX,cop,brutto,,,"6,768130002"
31,brutto,brutto,brutto,brutto,ADJ,root,ROOT,,3.28 ± 1.43,"4,90302551"
31,?,,?,,PUNCT,punct,brutto,,,
32,Sono,sono,essere,essere,AUX,cop,cattivo,,,"6,768130002"
32,cattivo,cattivo,cattivo,cattivo,ADJ,root,ROOT,,3.48 ± 1.26,"4,710488731"
32,?,,?,,PUNCT,punct,cattivo,,,
33,Puzzo,puzzo,puzzo,puzzo,NOUN,root,ROOT,,,"3,284344915"
33,?,,?,,PUNCT,punct,Puzzo,,,
34,Sta,sta,stare,stare,VERB,root,ROOT,,4.60 ± 2.35,"6,089640186"
34,a,a,a,a,ADP,mark,vedere,,,"7,004335738"
34,vedere,vedere,vedere,vedere,VERB,xcomp,Sta,,4.60 ± 1.50,"5,73232148"
34,marmocchia,marmocchia,marmocchia,marmocchia,NOUN,obj,vedere,,,"2,120342156"
34,",",,",",,PUNCT,punct,aaaargh!,,,
34,aaaargh!,aaaargh,aaaargh!,aaaargh,NOUN,conj,marmocchia,,,"2,065984493"
34,”,”,”,”,PUNCT,punct,Sta,,,
34,“,“,“,“,PUNCT,punct,Tieni,,,
34,Tieni,tieni,tenere,tenere,VERB,parataxis,Sta,,4.40 ± 1.89,"5,05165043"
34,",",,",",,PUNCT,punct,succhia,,,
34,succhia,succhia,succhiare,succhiare,VERB,conj,Tieni,,,"3,459267144"
34,questo,questo,questo,questo,PRON,obj,succhia,,,"6,484206212"
34,",",,",",,PUNCT,punct,calmerà,,,
34,ti,ti,ti,ti,PRON,iobj,calmerà,,,"6,615643201"
34,calmerà,calmerà,calmare,calmare,VERB,conj,Tieni,,,"3,110001322"
34,”,”,”,”,PUNCT,punct,Tieni,,,
34,",",,",",,PUNCT,punct,Sta,,,
34,dice,dice,dire,dire,VERB,parataxis,Sta,,4.08 ± 1.73,"5,609257672"
34,Nina,nina,Nina,Nina,PROPN,nsubj,dice,,,"1,668044485"
34,porgendo,porgendo,porgere,porgere,VERB,advcl,dice,,,"2,145165739"
34,gli,gli,gli,gli,PRON,iobj,porgendo,,,"6,227520191"
34,il,il,il,il,DET,det,ciuccio,,,"7,039560886"
34,ciuccio,ciuccio,ciuccio,ciuccio,NOUN,obj,porgendo,,2.96 ± 1.57,"2,858376183"
34,.,,.,,PUNCT,punct,Sta,,,
35,Di,di,di,di,ADP,case,colpo,,,"7,232814475"
35,colpo,colpo,colpo,colpo,NOUN,obl,ha,,,"4,938723321"
35,",",,",",,PUNCT,punct,colpo,,,
35,il,il,il,il,DET,det,lupo,,,"7,039560886"
35,lupo,lupo,lupo,lupo,NOUN,nsubj,ha,,3.92 ± 0.86,"4,449560513"
35,non,non,non,non,ADV,advmod,ha,,,"7,259198169"
35,ha,ha,avere,avere,VERB,root,ROOT,,,"6,684018637"
35,più,più,più,più,ADV,advmod,ha,,,"6,382555861"
35,voglia,voglia,voglia,voglia,NOUN,obj,ha,,6.56 ± 2.53,"5,066910001"
35,di,di,di,di,ADP,mark,mangiar,,,"7,232814475"
35,mangiar,mangiar,mangiare,mangiare,VERB,acl,voglia,,3.24 ± 1.74,"2,580089314"
35,si,si,si,si,PRON,expl,mangiar,,,"6,553884221"
